itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:11:37 Started server on 0.0.0.0:5000
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:21 MakeBid: A new highest bid of 30 from Bob has beaten the old bid of 29 from Alice!
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:21 MakeBid: A new highest bid of 30 from Bob has beaten the old bid of 29 from Alice!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:21 MakeBid: A new highest bid of 30 from Bob has beaten the old bid of 29 from Alice!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:24 GetResult: highest bid is 30 by Bob
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:24 GetResult: highest bid is 30 by Bob
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:24 GetResult: highest bid is 30 by Bob
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:24 MakeBid: A new highest bid of 31 from Alice has beaten the old bid of 30 from Bob!
itu-disys2021-miniproject3-better2-1         | 2021/11/30 11:12:24 Client is going to make a new highest bid of 31
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:24 MakeBid: A new highest bid of 31 from Alice has beaten the old bid of 30 from Bob!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:24 MakeBid: A new highest bid of 31 from Alice has beaten the old bid of 30 from Bob!
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:24 GetResult: highest bid is 31 by Alice
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:24 GetResult: highest bid is 31 by Alice
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:24 GetResult: highest bid is 31 by Alice
itu-disys2021-miniproject3-better1-1         | 2021/11/30 11:12:24 Client is going to make a new highest bid of 32
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:24 MakeBid: A new highest bid of 32 from Bob has beaten the old bid of 31 from Alice!
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:24 MakeBid: A new highest bid of 32 from Bob has beaten the old bid of 31 from Alice!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:24 MakeBid: A new highest bid of 32 from Bob has beaten the old bid of 31 from Alice!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:27 GetResult: highest bid is 32 by Bob
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:27 GetResult: highest bid is 32 by Bob
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:27 GetResult: highest bid is 32 by Bob
itu-disys2021-miniproject3-better2-1         | 2021/11/30 11:12:27 Client is going to make a new highest bid of 33
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:27 MakeBid: A new highest bid of 33 from Alice has beaten the old bid of 32 from Bob!
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:27 MakeBid: A new highest bid of 33 from Alice has beaten the old bid of 32 from Bob!
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:27 MakeBid: A new highest bid of 33 from Alice has beaten the old bid of 32 from Bob!
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:27 GetResult: highest bid is 33 by Alice
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:27 GetResult: highest bid is 33 by Alice
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:27 GetResult: highest bid is 33 by Alice
itu-disys2021-miniproject3-better1-1         | 2021/11/30 11:12:27 Client is going to make a new highest bid of 34
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:27 MakeBid: A new highest bid of 34 from Bob has beaten the old bid of 33 from Alice!
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:27 MakeBid: A new highest bid of 34 from Bob has beaten the old bid of 33 from Alice!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:27 MakeBid: A new highest bid of 34 from Bob has beaten the old bid of 33 from Alice!
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:30 GetResult: highest bid is 34 by Bob
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:30 GetResult: highest bid is 34 by Bob
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:30 GetResult: highest bid is 34 by Bob
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:30 MakeBid: A new highest bid of 35 from Alice has beaten the old bid of 34 from Bob!
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:30 MakeBid: A new highest bid of 35 from Alice has beaten the old bid of 34 from Bob!
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:30 MakeBid: A new highest bid of 35 from Alice has beaten the old bid of 34 from Bob!
itu-disys2021-miniproject3-better2-1         | 2021/11/30 11:12:30 Client is going to make a new highest bid of 35
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:30 GetResult: highest bid is 35 by Alice
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:30 GetResult: highest bid is 35 by Alice
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:30 GetResult: highest bid is 35 by Alice
itu-disys2021-miniproject3-better1-1         | 2021/11/30 11:12:30 Client is going to make a new highest bid of 36
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:30 MakeBid: A new highest bid of 36 from Bob has beaten the old bid of 35 from Alice!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:30 MakeBid: A new highest bid of 36 from Bob has beaten the old bid of 35 from Alice!
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:30 MakeBid: A new highest bid of 36 from Bob has beaten the old bid of 35 from Alice!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:33 GetResult: highest bid is 36 by Bob
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:33 GetResult: highest bid is 36 by Bob
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:33 GetResult: highest bid is 36 by Bob
itu-disys2021-miniproject3-better2-1         | 2021/11/30 11:12:33 Client is going to make a new highest bid of 37
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:33 MakeBid: A new highest bid of 37 from Alice has beaten the old bid of 36 from Bob!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:33 MakeBid: A new highest bid of 37 from Alice has beaten the old bid of 36 from Bob!
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:33 MakeBid: A new highest bid of 37 from Alice has beaten the old bid of 36 from Bob!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:33 GetResult: highest bid is 37 by Alice
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:33 GetResult: highest bid is 37 by Alice
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:33 GetResult: highest bid is 37 by Alice
itu-disys2021-miniproject3-better1-1         | 2021/11/30 11:12:33 Client is going to make a new highest bid of 38
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:33 MakeBid: A new highest bid of 38 from Bob has beaten the old bid of 37 from Alice!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:33 MakeBid: A new highest bid of 38 from Bob has beaten the old bid of 37 from Alice!
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:33 MakeBid: A new highest bid of 38 from Bob has beaten the old bid of 37 from Alice!
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:36 GetResult: highest bid is 38 by Bob
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:36 GetResult: highest bid is 38 by Bob
itu-disys2021-miniproject3-better2-1         | 2021/11/30 11:12:36 Client is going to make a new highest bid of 39
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:36 GetResult: highest bid is 38 by Bob
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:36 MakeBid: A new highest bid of 39 from Alice has beaten the old bid of 38 from Bob!
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:36 MakeBid: A new highest bid of 39 from Alice has beaten the old bid of 38 from Bob!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:36 MakeBid: A new highest bid of 39 from Alice has beaten the old bid of 38 from Bob!
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:36 GetResult: highest bid is 39 by Alice
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:36 GetResult: highest bid is 39 by Alice
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:36 GetResult: highest bid is 39 by Alice
itu-disys2021-miniproject3-better1-1         | 2021/11/30 11:12:36 Client is going to make a new highest bid of 40
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:36 MakeBid: A new highest bid of 40 from Bob has beaten the old bid of 39 from Alice!
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:36 MakeBid: A new highest bid of 40 from Bob has beaten the old bid of 39 from Alice!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:36 MakeBid: A new highest bid of 40 from Bob has beaten the old bid of 39 from Alice!
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:37 Auction ended - the winning bid was 40 by Bob
itu-disys2021-miniproject3-auctionserver3-1  | !
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:37 Auction ended - the winning bid was 40 by Bob
itu-disys2021-miniproject3-auctionserver1-1  | !
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:39 The highets bidder for this replica manager was 40 by Bob
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:39 The highets bidder for this replica manager was 40 by Bob
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:39 GetResult: highest bid is 40 by Bob
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:39 GetResult: highest bid is 40 by Bob
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:39 GetResult: highest bid is 40 by Bob
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:39 GetResult: highest bid is 40 by Bob
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:12:39 GetResult: highest bid is 40 by Bob
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:12:39 GetResult: highest bid is 40 by Bob
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:49 Auction ended - the winning bid was 40 by Bob
itu-disys2021-miniproject3-auctionserver2-1  | !
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:12:51 The highets bidder for this replica manager was 40 by Bob
